Date,Line,Station,Reason,Service Suspended,Notes,Length,
1/14/2024,Brown,Merchandise Mart,Mechanical,Yes,,,
1/14/2024,Brown,Belmont-Red/Brown/Purple,Other,Yes,,,
1/14/2024,Green,King Drive,Sick Customer,Yes,,,
1/14/2024,Orange,Belmont-Red/Brown/Purple,Other,Yes,,,
1/14/2024,Red,Garfield-Red,Mechanical,,,,
1/15/2024,Blue,Pulaski-Blue,Door Problem,,,,
1/15/2024,Blue,Forest Park,Mechanical,,,,
1/15/2024,Blue,Rosemont,Mechanical,,,,
1/15/2024,Orange,35th/Archer,Other,,,,
1/15/2024,Purple,Howard,Not Specified,,,,
1/15/2024,Yellow,Howard,Mechanical,,,,
1/16/2024,Blue,Clark/Lake,Mechanical,,,,
1/16/2024,Blue,Jefferson Park,Mechanical,,,,
1/16/2024,Blue,O'Hare,Not Specified,,,,
1/16/2024,Blue,Pulaski-Blue,Police Activity,,,,
1/16/2024,Orange,Clark/Lake,Door Problem,,,,
1/16/2024,Orange,Kedzie-Orange,Other,,,,
1/16/2024,Pink,Central Park-Pink,Track Switching,,,,
1/16/2024,Purple,Howard,Mechanical,,,,
1/16/2024,Red,Belmont-Red/Brown/Purple,Mechanical,Yes,,,
1/16/2024,Red,Morse,Mechanical,,,,
1/16/2024,Yellow,Howard,Mechanical,,,,
1/16/2024,Yellow,Dempster-Skokie,Signal,Yes,,,
1/17/2024,Blue,Oak Park- Blue,Door Problem,,,,
1/17/2024,Blue,Washington/Dearborn,Police Activity,,,,
1/17/2024,Brown,Western-Brown,Door Problem,,,,
1/17/2024,Red,Sheridan,Door Problem,,,,
1/17/2024,Red,Loyola,Mechanical,,,,
1/17/2024,Red,95th,Other,,,,
1/18/2024,Brown,Kedzie-Brown,Door Problem,,,,
1/18/2024,Brown,Irving Park-Brown,Sick Customer,,,,
1/18/2024,Orange,Midway,Police Activity,,,,
1/19/2024,Blue,Rosemont,Mechanical,,,,
1/19/2024,Green,Ashland/Lake,Signal,Yes,,,
1/19/2024,Pink,Ashland/Lake,Signal,Yes,,,
1/20/2024,Blue,Forest Park,Signal,,,,
1/20/2024,Pink,Cicero-Pink,Police Activity,,,,
1/20/2024,Red,Lake,Track Fire,,,,
1/21/2024,Blue,Austin-Blue,Door Problem,,,,
1/21/2024,Blue,Irving Park-Blue,Mechanical,,,,
1/21/2024,Blue,Logan Square,Mechanical,,,,
1/21/2024,Purple,Howard,Mechanical,,,,
1/21/2024,Red,Sox-35th,Other,,,,
1/22/2024,Blue,Addison-Blue,Sick Customer,,,,
1/22/2024,Blue,Washington/Dearborn,Sick Customer,,,,
1/22/2024,Pink,Kedzie-Pink,Police Activity,,,,
1/22/2024,Purple,Howard,Signal,,,,
1/22/2024,Red,Roosevelt,Mechanical,,,,
1/22/2024,Red,Grand/State,Police Activity,,,,
1/22/2024,Red,Wilson,Sick Customer,,,,
1/23/2024,Blue,Jefferson Park,Track Fire,,,,
1/23/2024,Orange,Western-Orange,Door Problem,,,,
1/24/2024,Blue,Pulaski-Blue,Mechanical,,,,
1/24/2024,Blue,Western-OH,Mechanical,,,,
1/24/2024,Blue,UIC/Halsted,Not Specified,,,,
1/24/2024,Orange,35th/Archer,Door Problem,,,,
1/24/2024,Red,Clark/Division,Mechanical,,,,
1/24/2024,Red,Cermak/Chinatown,Sick Customer,,,,
1/24/2024,Red,Granville,Sick Customer,,,,
1/25/2024,Blue,Jackson-Blue,Signal,,,,
1/25/2024,Brown,Belmont-Red/Brown/Purple,Mechanical,,,,
1/25/2024,Orange,Midway,Not Specified,,,,
1/25/2024,Orange,Halsted,Police Activity,,,,
1/26/2024,Brown,Chicago/Franklin,Door Problem,,,,
1/26/2024,Green,Roosevelt,Mechanical,,,,
1/26/2024,Purple,Chicago/Franklin,Door Problem,,,,
1/26/2024,Purple,Belmont-Red/Brown/Purple,Police Activity,,,,
1/26/2024,Red,Belmont-Red/Brown/Purple,Door Problem,,,,
1/26/2024,Red,Harrison,Mechanical,,,,
1/26/2024,Red,69th,Police Activity,,,,
1/26/2024,Red,79th,Police Activity,,,,
1/26/2024,Red,Belmont-Red/Brown/Purple,Police Activity,,,,
1/26/2024,Red,Granville,Sick Customer,,,,
1/27/2024,Red,Lake,Unauthorized Person,,Injured,,
1/27/2024,Purple,Howard,Not Specified,,,,
1/27/2024,Red,Belmont-Red/Brown/Purple,Police Activity,,,,
1/28/2024,Green,Laramie,Sick Customer,,Injured Customer,,
1/28/2024,Orange,Western-Orange,Police Activity,,Medical Emergency,,
1/28/2024,Red,Fullerton,Police Activity,,Medical Emergency,,
1/29/2024,Blue,Oak Park- Blue,Door Problem,,,,
1/29/2024,Blue,Chicago/Milkwaulkee,Police Activity,,,,
1/29/2024,Blue,California- Blue,Sick Customer,,,,
1/29/2024,Blue,Cumberland,Sick Customer,,,,
1/29/2024,Purple,Howard,Track Switching,,,,
1/29/2024,Red,Howard,Track Switching,,,,
1/29/2024,Yellow,Howard,Track Switching,,,,
1/30/2024,Blue,Division,Sick Customer,,,,
1/30/2024,Red,87th,Door Problem,,,,
1/30/2024,Red,Morse,Sick Customer,,,,
1/31/2024,Blue,Clark/Lake,Unauthorized Person,,,,
1/31/2024,Green,35th-Bronzeville-IIT,Police Activity,,,,
1/31/2024,Green,California-Green,Police Activity,,,,
2/1/2024,Blue,Illinois Medical District,Police Activity,,,,
2/1/2024,Brown,Adams/Wabash,Other,,,,
2/1/2024,Green,Adams/Wabash,Other,,,,
2/1/2024,Orange,Adams/Wabash,Other,,,,
2/1/2024,Pink,Adams/Wabash,Other,,,,
2/1/2024,Purple,Adams/Wabash,Other,,,,
2/1/2024,Red,Loyola,Door Problem,,,,
2/2/2024,Blue,Pulaski-Blue,Door Problem,,,,
2/2/2024,Blue,Rosemont,Mechanical,,,,
2/2/2024,Blue,Cicero-Blue,Not Specified,,,,
2/2/2024,Blue,Western-FP,Police Activity,,,,
2/2/2024,Blue,UIC/Halsted,Sick Customer,,,,
2/2/2024,Orange,Western-Orange,Police Activity,,,,
2/2/2024,Red,79th,Sick Customer,,,,
2/2/2024,Red,Sox-35th,Sick Customer,,,,
2/3/2024,Blue,O'Hare,Not Specified,,,,
2/3/2024,Blue,Austin-Blue,Police Activity,,,,
2/3/2024,Green,Ashland/63rd,Available Staff,Yes,,,
2/3/2024,Green,Harlem-Green,Available Staff,Yes,,,
2/3/2024,Green,35th-Bronzeville-IIT,Police Activity,,,,
2/3/2024,Green,43rd,Sick Customer,,,,
2/3/2024,Purple,Howard,Not Specified,,,,
2/3/2024,Red,47th-Red,Sick Customer,,,,
2/3/2024,Yellow,Howard,Mechanical,,,,
2/4/2024,Blue,Cicero-Blue,Police Activity,,,,
2/4/2024,Green,Ashland/63rd,Available Staff,Yes,,,
2/4/2024,Green,Harlem-Green,Available Staff,Yes,,,
2/4/2024,Red,Bryn Mawr,Door Problem,,,,
2/4/2024,Red,Belmont-Red/Brown/Purple,Police Activity,,,,
2/4/2024,Red,Grand/State,Police Activity,,,,
2/5/2024,Blue,O'Hare,Not Specified,,,,
2/5/2024,Blue,O'Hare,Not Specified,,,,
2/5/2024,Blue,Clinton,Sick Customer,,,,
2/5/2024,Blue,Grand/Milwaulkee,Unauthorized Person,,,,
2/5/2024,Pink,18th,Police Activity,,,,
2/5/2024,Purple,Howard,Not Specified,,,,
2/5/2024,Red,69th,Police Activity,,,,
2/5/2024,Red,Fullerton,Police Activity,,,,
2/5/2024,Red,Fullerton,Sick Customer,,,,
2/6/2024,Blue,Belmont-Blue,Door Problem,,,,
2/6/2024,Blue,Chicago/Milkwaulkee,Mechanical,,,,
2/6/2024,Blue,Jackson-Blue,Police Activity,,,,
2/6/2024,Blue,Kedzie-Homan,Police Activity,,,,
2/6/2024,Blue,Kedzie-Homan,Sick Customer,,,,
2/6/2024,Brown,Paulina,Signal,,,,
2/6/2024,Green,Ridgeland,Sick Customer,,,,
2/6/2024,Yellow,Dempster-Skokie,Police Activity,,,,
2/7/2024,Blue,Belmont-Blue,Door Problem,,,,
2/7/2024,Blue,Harlem-FP,Mechanical,,,,
2/7/2024,Blue,Racine,Mechanical,,,,
2/7/2024,Brown,Clark/Lake,Mechanical,,,,
2/7/2024,Green,Clark/Lake,Mechanical,,,,
2/7/2024,Orange,Clark/Lake,Mechanical,,,,
2/7/2024,Orange,Western-Orange,Sick Customer,,,,
2/7/2024,Pink,Clark/Lake,Mechanical,,,,
2/7/2024,Purple,Clark/Lake,Mechanical,,,,
2/7/2024,Red,Wilson,Police Activity,,,,
2/7/2024,Yellow,Howard,Sick Customer,,,,
2/8/2024,Blue,O'Hare,Not Specified,,,,
2/8/2024,Blue,UIC/Halsted,Sick Customer,,,,
2/8/2024,Blue,Rosemont,Signal,,,,
2/8/2024,Green,Clark/Lake,Sick Customer,,,,
2/8/2024,Orange,Halsted,Door Problem,,,,
2/8/2024,Orange,Clark/Lake,Sick Customer,,,,
2/8/2024,Pink,Clark/Lake,Sick Customer,,,,
2/8/2024,Red,63rd,Police Activity,,,,
2/8/2024,Red,Fullerton,Sick Customer,,,,
2/9/2024,Green,Morgan,Sick Customer,,,,
2/9/2024,Red,79th,Door Problem,,,,
2/9/2024,Red,Fullerton,Mechanical,,,,
2/9/2024,Red,63rd,Police Activity,,,,
2/9/2024,Red,Fullerton,Police Activity,,,,
2/9/2024,Red,69th,Sick Customer,,,,
2/9/2024,Red,Wilson,Sick Customer,,,,
2/9/2024,Red,95th,Unauthorized Person,,,,
2/10/2024,Blue,Cumberland,Mechanical,,,,
2/10/2024,Blue,Forest Park,Police Activity,,,,
2/10/2024,Blue,Western-FP,Police Activity,,,,
2/10/2024,Green,Harlem-Green,Not Specified,,,,
2/10/2024,Red,Clark/Division,Sick Customer,,,,
2/11/2024,Blue,LaSalle,Police Activity,,,,
2/11/2024,Green,Ashland/63rd,Available Staff,Yes,,,
2/11/2024,Green,Harlem-Green,Available Staff,Yes,,,
2/11/2024,Red,Jarvis,Sick Customer,,,,
2/12/2024,Blue,Clinton,Door Problem,,,,
2/12/2024,Red,Monroe-Red,Not Specified,,,,
2/13/2024,Blue,Forest Park,Available Staff,Yes,,,
2/13/2024,Blue,Kedzie-Homan,Door Problem,,,,
2/13/2024,Blue,Rosemont,Door Problem,,,,
2/13/2024,Blue,Logan Square,Sick Customer,,,,
2/13/2024,Orange,Midway,Available Staff,Yes,,,
2/13/2024,Red,Garfield-Red,Sick Customer,,,,
2/14/2024,Blue,Clark/Lake,Unauthorized Person,,,,
2/14/2024,Pink,54th/Cermak,Available Staff,Yes,,,
2/14/2024,Red,Fullerton,Door Problem,,,,
2/14/2024,Red,Belmont-Red/Brown/Purple,Mechanical,,,,
2/14/2024,Red,Cermak/Chinatown,Police Activity,,,,
2/14/2024,Red,Chicago/State,Police Activity,,,,
2/15/2024,Blue,O'Hare,Not Specified,,,,
2/15/2024,Orange,Midway,Available Staff,Yes,,,
2/15/2024,Pink,Ashland/Lake,Mechanical,,,,
2/15/2024,Red,47th-Red,Door Problem,,,,
2/15/2024,Red,Chicago/State,Door Problem,,,,
2/15/2024,Red,63rd,Police Activity,,,,
2/15/2024,Red,79th,Police Activity,,,,
2/15/2024,Red,Argyle,Sick Customer,,,,
2/15/2024,Red,Loyola,Unauthorized Person,,,,
2/15/2024,Yellow,Dempster-Skokie,Police Activity,,,,
2/16/2024,Brown,Western-Brown,Mechanical,,Tower 17,,
2/16/2024,Brown,Kimball,Not Specified,,Tower 17,,
2/16/2024,Brown,Adams/Wabash,Police Activity,,Tower 17,,
2/16/2024,Green,Ashland/63rd,Available Staff,Yes,Tower 17,,
2/16/2024,Green,Harlem-Green,Available Staff,Yes,Tower 17,,
2/16/2024,Green,Adams/Wabash,Police Activity,,Tower 17,,
2/16/2024,Green,Indiana,Police Activity,,Tower 17,,
2/16/2024,Orange,Midway,Available Staff,Yes,Tower 17,,
2/16/2024,Orange,Adams/Wabash,Police Activity,,Tower 17,,
2/16/2024,Pink,Adams/Wabash,Police Activity,,Tower 17,,
2/16/2024,Purple,Adams/Wabash,Police Activity,,Tower 17,,
2/16/2024,Red,Grand/State,Door Problem,,Tower 17,,
2/16/2024,Blue,Montrose-Blue,Door Problem,,,,
2/16/2024,Blue,Damen-Blue,Mechanical,,,,
2/16/2024,Blue,LaSalle,Other,,,,
2/16/2024,Blue,Western-OH,Police Activity,,,,
2/16/2024,Brown,Kimball,Available Staff,Yes,,,
2/16/2024,Brown,Francisco,Mechanical,,,,
2/17/2024,Blue,Forest Park,Available Staff,Yes,,,
2/17/2024,Blue,Jefferson Park,Door Problem,,,,
2/17/2024,Blue,Jackson-Blue,Unauthorized Person,,,,
2/17/2024,Green,Pulaski-Green,Door Problem,,,,
2/17/2024,Green,Kezdie-Green,Police Activity,,,,
2/17/2024,Pink,Pulaski-Pink,Police Activity,,,,
2/17/2024,Red,Loyola,Sick Customer,,,,
2/18/2024,Blue,Forest Park,Available Staff,Yes,,,
2/18/2024,Blue,LaSalle,Police Activity,,,,
2/18/2024,Green,Ashland/Lake,Police Activity,,,,
2/18/2024,Orange,Pulaski-Orange,Door Problem,,,,
2/18/2024,Pink,Ashland/Lake,Police Activity,,,,
2/18/2024,Purple,Davis,Signal,,,,
2/18/2024,Red,95th,Available Staff,Yes,,,
2/18/2024,Red,Cermak/Chinatown,Track Fire,,,,
2/19/2024,Blue,Division,Police Activity,,,,
2/19/2024,Blue,UIC/Halsted,Police Activity,,,,
2/19/2024,Blue,Harlem-FP,Signal,,,,
2/19/2024,Green,Clark/Lake,Sick Customer,,,,
2/19/2024,Orange,Clark/Lake,Sick Customer,,,,
2/19/2024,Purple,Howard,Not Specified,,,,
2/19/2024,Red,Argyle,Door Problem,,,,
2/20/2024,Blue,California- Blue,Mechanical,,,,
2/20/2024,Blue,Harlem-OH,Mechanical,,,,
2/20/2024,Blue,Jefferson Park,Police Activity,,,,
2/20/2024,Brown,State/Lake,Police Activity,,,,
2/20/2024,Green,Kedzie-Green,Door Problem,,,,
2/20/2024,Green,Oak Park-Green,Door Problem,,,,
2/20/2024,Green,State/Lake,Police Activity,,,,
2/20/2024,Orange,State/Lake,Police Activity,,,,
2/20/2024,Orange,35th/Archer,Sick Customer,,,,
2/20/2024,Pink,State/Lake,Police Activity,,,,
2/20/2024,Purple,State/Lake,Police Activity,,,,
2/20/2024,Red,87th,Mechanical,,,,
2/20/2024,Red,Clark/Division,Mechanical,,,,
2/20/2024,Red,69th,Police Activity,,,,
2/20/2024,Red,North/Clyborn,Unauthorized Person,,,,
2/21/2024,Blue,Jefferson Park,Mechanical,,,,
2/21/2024,Blue,Illinois Medical District,Police Activity,,,,
2/21/2024,Blue,Kedzie-Homan,Police Activity,,,,
2/21/2024,Blue,Damen-Blue,Sick Customer,,,,
2/21/2024,Blue,Oak Park- Blue,Sick Customer,,,,
2/21/2024,Blue,Western-FP,Sick Customer,,,,
2/21/2024,Red,47th-Red,Police Activity,,,,
2/21/2024,Red,Garfield-Red,Police Activity,,,,
2/21/2024,Red,63rd,Signal,,,,
2/22/2024,Blue,Harlem-OH,Door Problem,,,,
2/22/2024,Blue,Western-FP,Unauthorized Person,,,,
2/22/2024,Green,Pulaski-Green,Sick Customer,,,,
2/23/2024,Blue,Forest Park,Available Staff,Yes,,,
2/23/2024,Blue,Illinois Medical District,Police Activity,,,,
2/23/2024,Green,Cicero-Green,Door Problem,,,,
2/23/2024,Purple,Howard,Unauthorized Person,,,,
2/23/2024,Red,Addison-Red,Track Switching,,,,
2/23/2024,Red,Howard,Unauthorized Person,,,,
2/23/2024,Yellow,Howard,Unauthorized Person,,,,
2/23/2024,Yellow,Howard,Unauthorized Person,,,,
2/24/2024,Blue,Chicago/Milkwaulkee,Mechanical,,,,
2/24/2024,Blue,Harlem-OH,Police Activity,,,,
2/24/2024,Brown,Kimball,Available Staff,Yes,,,
2/24/2024,Brown,Montrose-Brown,Sick Customer,,,,
2/24/2024,Green,Washington/Wabash,Sick Customer,,,,
2/24/2024,Red,Belmont-Red/Brown/Purple,Police Activity,,,,
2/25/2024,Brown,Kimball,Available Staff,Yes,,,
2/25/2024,Red,47th-Red,Police Activity,,,,
2/26/2024,Blue,Forest Park,Available Staff,Yes,,,
2/26/2024,Blue,Austin-Blue,Door Problem,,,,
2/26/2024,Blue,Logan Square,Door Problem,,,,
2/26/2024,Brown,Merchandise Mart,Signal,,,,
2/26/2024,Pink,Cicero-Pink,Unauthorized Person,,,,
2/26/2024,Red,Clark/Division,Police Activity,,,,
2/26/2024,Red,Roosevelt,Police Activity,,,,
2/26/2024,Red,Sox-35th,Police Activity,,,,
2/27/2024,Blue,Grand/Milwaulkee,Door Problem,,,,
2/27/2024,Blue,Harlem-FP,Mechanical,,,,
2/27/2024,Blue,Rosemont,Mechanical,,,,
2/27/2024,Brown,Wellington,Door Problem,,,,
2/27/2024,Green,Garfield-Green,Track Fire,,,,
2/27/2024,Orange,Halsted,Door Problem,,,,
2/27/2024,Orange,Western-Orange,Door Problem,,,,
2/27/2024,Purple,Howard,Unauthorized Person,,,,
2/27/2024,Red,Fullerton,Police Activity,,,,
2/27/2024,Yellow,Howard,Unauthorized Person,,,,
2/27/2024,Yellow,Oakton-Skokie,Unauthorized Person,,,,
2/28/2024,Blue,Forest Park,Not Specified,,,,
2/28/2024,Blue,O'Hare,Not Specified,,,,
2/28/2024,Blue,Monroe-Blue,Sick Customer,,,,
2/28/2024,Blue,Montrose-Blue,Sick Customer,,,,
2/28/2024,Blue,Jefferson Park,Signal,,,,
2/28/2024,Blue,Rosemont,Track Fire,,,,
2/28/2024,Brown,Southport,Door Problem,,,,
2/28/2024,Brown,Armitage,Other,Yes,,,
2/28/2024,Orange,35th/Archer,Sick Customer,,,,
2/28/2024,Red,95th,Available Staff,Yes,,,
2/28/2024,Red,Thorndale,Police Activity,,,,
2/28/2024,Red,Monroe-Red,Unauthorized Person,,,,
2/28/2024,Yellow,Dempster-Skokie,Police Activity,,,,
2/29/2024,Blue,Austin-Blue,Door Problem,,,,
2/29/2024,Blue,Illinois Medical District,Door Problem,,,,
2/29/2024,Blue,Oak Park- Blue,Door Problem,,,,
2/29/2024,Blue,UIC/Halsted,Police Activity,,,,
2/29/2024,Blue,Illinois Medical District,Sick Customer,,,,
2/29/2024,Brown,State/Lake,Police Activity,,,,
2/29/2024,Brown,Harold Washington Library-State/Van Buren,Track Fire,,,,
2/29/2024,Green,State/Lake,Police Activity,,,,
2/29/2024,Green,Garfield-Green,Track Fire,,,,
2/29/2024,Green,Harold Washington Library-State/Van Buren,Track Fire,,,,
2/29/2024,Orange,Harold Washington Library-State/Van Buren,Track Fire,,,,
2/29/2024,Pink,54th/Cermak,Available Staff,Yes,,,
2/29/2024,Pink,Harold Washington Library-State/Van Buren,Track Fire,,,,
2/29/2024,Purple,Howard,Unauthorized Person,,,,
2/29/2024,Red,Loyola,Door Problem,,,,
2/29/2024,Red,North/Clyborn,Police Activity,,,,
2/29/2024,Red,Howard,Unauthorized Person,,,,
2/29/2024,Yellow,Howard,Unauthorized Person,,,,
3/1/2024,Red,Cermak/Chinatown,Police Activity,,,,
3/1/2024,Blue,Addison-Blue,Police Activity,,,,
3/1/2024,Blue,Rosemont,Mechanical,,,,
3/1/2024,Blue,O'Hare,Mechanical,,,,
3/1/2024,Green,Harold Washington Library-State/Van Buren,Sick Customer,,,,
3/1/2024,Pink,Harold Washington Library-State/Van Buren,Sick Customer,,,,
3/1/2024,Orange,Harold Washington Library-State/Van Buren,Sick Customer,,,,
3/1/2024,Purple,Harold Washington Library-State/Van Buren,Sick Customer,,,,
3/1/2024,Green,Cottage Grove,Not Specified,,,,
3/1/2024,Green,Cermak-McCormick,Not Specified,,,,
3/1/2024,Pink,Cicero-Pink,Police Activity,,,,
3/1/2024,Pink,54th/Cermak,Police Activity,,,,
3/2/2024,Red,Howard,Available Staff,Yes,,,
3/2/2024,Yellow,Dempster-Skokie,Sick Customer,,,,
3/3/2024,Red,Fullerton,Unauthorized Person,,,,
3/3/2024,Green,Ashland/63rd,Available Staff,Yes,,,
3/3/2024,Brown,Sedgwick,Police Activity,,,,
3/3/2024,Brown,Kimball,Available Staff,Yes,,,
3/4/2024,Blue,Belmont-Blue,Mechanical,,,,
3/4/2024,Blue,Irving Park-Blue,Door Problem,,,,
3/4/2024,Blue,UIC/Halsted,Sick Customer,,,,
3/4/2024,Blue,Rosemont,Mechanical,,,,
3/5/2024,Orange,Western-Orange,Police Activity,,Debris,,
3/5/2024,Blue,UIC/Halsted,Mechanical,,,,
3/5/2024,Blue,Pulaski-Blue,Door Problem,,,,
3/5/2024,Blue,Cumberland,Mechanical,,,,
3/5/2024,Brown,Wellington,Police Activity,,,,
3/5/2024,Purple,Wellington,Police Activity,,,,
3/5/2024,Orange,Halsted,Police Activity,,,,
3/6/2024,Blue,Harlem-OH,Sick Customer,,,,
3/6/2024,Blue,Addison-Blue,Door Problem,,,,
3/6/2024,Blue,Jefferson Park,Door Problem,,,,
3/6/2024,Brown,Armitage,Police Activity,,,,
3/6/2024,Purple,Armitage,Police Activity,,,,
3/7/2024,Red,Chicago/State,Police Activity,,,,
3/7/2024,Red,Fullerton,Signal,,,,
3/7/2024,Red,Howard,Available Staff,Yes,,,
3/7/2024,Red,47th-Red,Police Activity,,,,
3/7/2024,Blue,Jackson-Blue,Door Problem,,,,
3/7/2024,Blue,Washington-Dearborn,Door Problem,,,,
3/7/2024,Blue,Forest Park,Available Staff,Yes,,,
3/7/2024,Brown,Armitage,Mechanical,,,,
3/7/2024,Purple,Armitage,Mechanical,,,,
3/7/2024,Purple,Dempster-Purple,Other,,,,
3/8/2024,Blue,Illinois Medical District,Door Problem,,,,
3/8/2024,Blue,Kedzie-Homan,Sick Customer,,,,
3/8/2024,Pink,Kostner,Unauthorized Person,,,,
3/8/2024,Orange,35th/Archer,Police Activity,,,,
3/9/2024,Red,79th,Sick Customer,,,,
3/9/2024,Red,Roosevelt,Police Activity,,,,
3/9/2024,Blue,California-Blue,Door Problem,,,,
3/9/2024,Blue,Division,Mechanical,,,,
3/9/2024,Blue,Pulaski-Blue,Sick Customer,,,,
3/9/2024,Blue,Forest Park,Available Staff,Yes,,,
3/9/2024,Green,Ashland/63rd,Available Staff,Yes,,,
3/9/2024,Green,Oak Park-Green,Mechanical,,,,
3/9/2024,Green,Garfield-Green,Signal,,,,
3/9/2024,Orange,Ashland-Orange,Door Problem,,,,
3/9/2024,Orange,Kedzie-Orange,Police Activity,,,,
3/9/2024,Purple,Linden,Not Specified,,,,
3/10/2024,Red,Cermak/Chinatown,Sick Customer,,,,
3/10/2024,Blue,Forest Park,Available Staff,Yes,,,
3/10/2024,Blue,Addison-Blue,Sick Customer,,,,
3/10/2024,Blue,Oak Park-Blue,Police Activity,,,,
3/10/2024,Green,Cermak-McCormick,Police Activity,,,,
3/10/2024,Purple,Linden,Available Staff,Yes,,,
3/11/2024,Red,Addison-Red,Track Conditions,,,,
3/11/2024,Red,Addison-Red,Track Fire,,,,
3/11/2024,Red,Lake,Police Activity,,,,
3/11/2024,Red,Howard,Available Staff,Yes,,,
3/11/2024,Blue,UIC/Halsted,Mechanical,,,,
3/11/2024,Blue,Pulaski-Blue,Sick Customer,,,,
3/11/2024,Blue,UIC/Halsted,Other,,,,
3/11/2024,Blue,O'Hare,Available Staff,Yes,,,
3/11/2024,Brown,Montrose-Blue,Sick Customer,,,,
3/11/2024,Pink,54th/Cermak,Unauthorized Person,,,,
3/11/2024,Pink,54th/Cermak,Available Staff,Yes,,,
3/11/2024,Purple,Linden,Track Conditions,Yes,,,
3/12/2024,Red,Jackson-Red,Unauthorized Person,,,,
3/12/2024,Red,Harrison,Sick Customer,,,,
